id,route_type,route_name,image_path,website1,us_state,website2_state,website2,miles,trip_info,beginning,ending
1,All-American Roads,Great River Road,,https://www.fhwa.dot.gov/byways/byways/2279,"(Arkansas, Illinois, Iowa, Kentucky, Louisiana, Minnesota, Tennessee, and Wisconsin all received AAR designations, but Mississippi and Missouri did not)",,,2069,,"Itasca State Park, MN","Venice, LA"
2,All-American Roads,A1A Scenic and Historic Coastal Byway,,https://www.fhwa.dot.gov/byways/byways/2477,FL,,,72,,Ponte Vedra Beach,Summer Haven
3,All-American Roads,The Battle Road Scenic Byway,,https://battleroadbyway.org/,MA,,,15,,East Arlington,West Concord
4,All-American Roads,Chesapeake Country Scenic Byway,,https://www.fhwa.dot.gov/byways/byways/2261,MD,,,85.5,,Stevensville,Chesapeake City
5,All-American Roads,Historic Route 66 Missouri,,https://www.visitmo.com/trip-ideas/route-66-part-one,MO,,,280,,St. Louis,Joplin
6,All-American Roads,Newfound Gap Road Byway,,https://parkplanning.nps.gov/projectHome.cfm?projectID=51080,NC,TN,https://www.tn.gov/content/dam/tn/tdot/environmental/NewfoundGapRd_CMP_March%202017.pdf,31,Wholly within the Great Smoky Mountains National Park,"Gatlinburg, TN","Cherokee, NC"
7,All-American Roads,Flaming Gorge – Green River Basin Scenic Byway,,https://www.tourwyoming.com/travel-tools/itineraries/flaming-gorge-scenic-byway-tour,WY,,,150,,Rock Springs,Green River
8,National Scenic Byways,California Historic Route 66 Needles to Barstow Scenic Byway,,https://www.route66ca.org/,CA,,,178,,Needles,Barstow
9,National Scenic Byways,Scenic Highway of Legends,,https://www.codot.gov/travel/scenic-byways/southeast/highway-legends,CO,,,82,Extension from Aguilar through San Isabel National Forest to Cuchara Pass,Walsenburg,Trinidad
10,National Scenic Byways,Silver Thread Colorado Scenic and Historic Byway,,https://www.codot.gov/travel/scenic-byways/south-central/silver-thread,CO,,,117,,Blue Mesa Reservoir,South Fork
11,National Scenic Byways,Delaware Bayshore Byway,,https://deldot.gov/Programs/byways/index.shtml?dc=route9,DE,,,100,,New Castle,Lewes
12,National Scenic Byways,River of Lakes Heritage Corridor,,https://riveroflakesheritagecorridor.org/map/,FL,,,156,,Seville,Oak Hill
13,National Scenic Byways,Scenic Highway 30A,,https://www.fdot.gov/designsupport/highwaybeautification/scenichighways,FL,,,24,,Dune Allen,Inlet Beach
14,National Scenic Byways,Lincoln Highway Heritage Byway,,https://iowadot.gov/iowasbyways,IA,,,460,,Clinton,Council Bluffs
15,National Scenic Byways,Whitewater Canal Scenic Byway,,https://visitindiana.com/trip-ideas/26551-you-have-to-see-the-whitewater-canal-scenic-byway,IN,,,76,,Dearborn,Wayne
